"Country","lineage_group","ISO_week_end","ISO_week","n","percent"
"Thailand","JN.1*",2025-04-06,14,0,0
"Thailand","JN.1*",2025-04-13,15,2,33.3333333333333
"Thailand","JN.1*",2025-04-20,16,0,0
"Thailand","JN.1*",2025-04-27,17,0,0
"Thailand","JN.1*",2025-05-04,18,0,0
"Thailand","JN.1*",2025-05-11,19,5,7.14285714285714
"Thailand","JN.1*",2025-05-18,20,1,1.13636363636364
"Thailand","JN.1*",2025-05-25,21,1,1.28205128205128
"Thailand","JN.1*",2025-06-01,22,1,1.5625
"Thailand","JN.1*",2025-06-08,23,1,1.2987012987013
"Thailand","JN.1*",2025-06-15,24,2,4.54545454545455
"Thailand","JN.1*",2025-06-22,25,0,0
"Thailand","JN.1*",2025-06-29,26,1,6.66666666666667
"Thailand","JN.1*",2025-07-06,27,0,0
"Thailand","JN.1*",2025-07-13,28,0,0
"Thailand","JN.1*",2025-07-20,29,0,0
"Thailand","JN.1*",2025-07-27,30,0,0
"Thailand","JN.1*",2025-08-03,31,0,0
"Thailand","JN.1*",2025-08-10,32,0,0
"Thailand","JN.1*",2025-08-17,33,0,0
"Thailand","JN.1*",2025-08-24,34,0,0
"Thailand","JN.1*",2025-08-31,35,1,20
"Thailand","JN.1*",2025-09-07,36,0,0
"Thailand","JN.1*",2025-09-14,37,0,0
"Thailand","JN.1*",2025-09-21,38,0,0
"Thailand","JN.1*",2025-09-28,39,0,0
"Thailand","JN.1*",2025-10-05,40,1,11.1111111111111
"Thailand","JN.1*",2025-10-12,41,0,0
"Thailand","JN.1*",2025-10-19,42,0,0
"Thailand","JN.1*",2025-10-26,43,0,0
"Thailand","JN.1*",2025-11-02,44,0,0
"Thailand","JN.1*",2025-11-09,45,0,0
"Thailand","JN.1*",2025-11-16,46,0,0
"Thailand","JN.1*",2025-11-23,47,0,0
"Thailand","JN.1*",2025-11-30,48,0,0
"Thailand","JN.1*",2025-12-07,49,1,100
"Thailand","NB.1.8.1*",2025-02-09,6,1,33.3333333333333
"Thailand","NB.1.8.1*",2025-02-16,7,0,0
"Thailand","NB.1.8.1*",2025-02-23,8,0,0
"Thailand","NB.1.8.1*",2025-03-02,9,0,0
"Thailand","NB.1.8.1*",2025-03-09,10,0,0
"Thailand","NB.1.8.1*",2025-03-16,11,0,0
"Thailand","NB.1.8.1*",2025-03-23,12,0,0
"Thailand","NB.1.8.1*",2025-03-30,13,0,0
"Thailand","NB.1.8.1*",2025-04-06,14,2,40
"Thailand","NB.1.8.1*",2025-04-13,15,0,0
"Thailand","NB.1.8.1*",2025-04-20,16,5,62.5
"Thailand","NB.1.8.1*",2025-04-27,17,28,75.6756756756757
"Thailand","NB.1.8.1*",2025-05-04,18,25,62.5
"Thailand","NB.1.8.1*",2025-05-11,19,42,60
"Thailand","NB.1.8.1*",2025-05-18,20,75,85.2272727272727
"Thailand","NB.1.8.1*",2025-05-25,21,63,80.7692307692308
"Thailand","NB.1.8.1*",2025-06-01,22,53,82.8125
"Thailand","NB.1.8.1*",2025-06-08,23,71,92.2077922077922
"Thailand","NB.1.8.1*",2025-06-15,24,34,77.2727272727273
"Thailand","NB.1.8.1*",2025-06-22,25,29,78.3783783783784
"Thailand","NB.1.8.1*",2025-06-29,26,13,86.6666666666667
"Thailand","NB.1.8.1*",2025-07-06,27,9,69.2307692307692
"Thailand","NB.1.8.1*",2025-07-13,28,10,76.9230769230769
"Thailand","NB.1.8.1*",2025-07-20,29,5,62.5
"Thailand","NB.1.8.1*",2025-07-27,30,7,53.8461538461538
"Thailand","NB.1.8.1*",2025-08-03,31,2,50
"Thailand","NB.1.8.1*",2025-08-10,32,0,0
"Thailand","NB.1.8.1*",2025-08-17,33,5,71.4285714285714
"Thailand","NB.1.8.1*",2025-08-24,34,7,87.5
"Thailand","NB.1.8.1*",2025-08-31,35,0,0
"Thailand","NB.1.8.1*",2025-09-07,36,2,33.3333333333333
"Thailand","NB.1.8.1*",2025-09-14,37,0,0
"Thailand","NB.1.8.1*",2025-09-21,38,0,0
"Thailand","NB.1.8.1*",2025-09-28,39,0,0
"Thailand","NB.1.8.1*",2025-10-05,40,4,44.4444444444444
"Thailand","NB.1.8.1*",2025-10-12,41,2,40
"Thailand","NB.1.8.1*",2025-10-19,42,0,0
"Thailand","NB.1.8.1*",2025-10-26,43,1,100
"Thailand","NB.1.8.1*",2025-11-02,44,0,0
"Thailand","NB.1.8.1*",2025-11-09,45,2,66.6666666666667
"Thailand","NB.1.8.1*",2025-11-16,46,1,100
"Thailand","XFG*",2025-01-05,1,3,42.8571428571429
"Thailand","XFG*",2025-01-12,2,2,22.2222222222222
"Thailand","XFG*",2025-01-19,3,3,50
"Thailand","XFG*",2025-01-26,4,0,0
"Thailand","XFG*",2025-02-02,5,3,27.2727272727273
"Thailand","XFG*",2025-02-09,6,0,0
"Thailand","XFG*",2025-02-16,7,2,40
"Thailand","XFG*",2025-02-23,8,0,0
"Thailand","XFG*",2025-03-02,9,0,0
"Thailand","XFG*",2025-03-09,10,1,33.3333333333333
"Thailand","XFG*",2025-03-16,11,0,0
"Thailand","XFG*",2025-03-23,12,0,0
"Thailand","XFG*",2025-03-30,13,0,0
"Thailand","XFG*",2025-04-06,14,0,0
"Thailand","XFG*",2025-04-13,15,1,16.6666666666667
"Thailand","XFG*",2025-04-20,16,1,12.5
"Thailand","XFG*",2025-04-27,17,3,8.10810810810811
"Thailand","XFG*",2025-05-04,18,6,15
"Thailand","XFG*",2025-05-11,19,7,10
"Thailand","XFG*",2025-05-18,20,4,4.54545454545455
"Thailand","XFG*",2025-05-25,21,5,6.41025641025641
"Thailand","XFG*",2025-06-01,22,4,6.25
"Thailand","XFG*",2025-06-08,23,4,5.19480519480519
"Thailand","XFG*",2025-06-15,24,5,11.3636363636364
"Thailand","XFG*",2025-06-22,25,5,13.5135135135135
"Thailand","XFG*",2025-06-29,26,1,6.66666666666667
"Thailand","XFG*",2025-07-06,27,3,23.0769230769231
"Thailand","XFG*",2025-07-13,28,2,15.3846153846154
"Thailand","XFG*",2025-07-20,29,3,37.5
"Thailand","XFG*",2025-07-27,30,5,38.4615384615385
"Thailand","XFG*",2025-08-03,31,2,50
"Thailand","XFG*",2025-08-10,32,0,0
"Thailand","XFG*",2025-08-17,33,2,28.5714285714286
"Thailand","XFG*",2025-08-24,34,1,12.5
"Thailand","XFG*",2025-08-31,35,2,40
"Thailand","XFG*",2025-09-07,36,3,50
"Thailand","XFG*",2025-09-14,37,2,100
"Thailand","XFG*",2025-09-21,38,1,100
"Thailand","XFG*",2025-09-28,39,3,100
"Thailand","XFG*",2025-10-05,40,3,33.3333333333333
"Thailand","XFG*",2025-10-12,41,3,60
"Thailand","XFG*",2025-10-19,42,3,100
"Thailand","XFG*",2025-10-26,43,0,0
"Thailand","XFG*",2025-11-02,44,1,100
"Thailand","XFG*",2025-11-09,45,1,33.3333333333333
"Thailand","Other",2025-01-05,1,1,14.2857142857143
"Thailand","Other",2025-01-12,2,6,66.6666666666667
"Thailand","Other",2025-01-19,3,2,33.3333333333333
"Thailand","Other",2025-01-26,4,6,100
"Thailand","Other",2025-02-02,5,8,72.7272727272727
"Thailand","Other",2025-02-09,6,2,66.6666666666667
"Thailand","Other",2025-02-16,7,3,60
"Thailand","Other",2025-02-23,8,2,100
"Thailand","Other",2025-03-02,9,1,100
"Thailand","Other",2025-03-09,10,2,66.6666666666667
"Thailand","Other",2025-03-16,11,2,100
"Thailand","Other",2025-03-23,12,1,50
"Thailand","Other",2025-03-30,13,0,0
"Thailand","Other",2025-04-06,14,3,60
"Thailand","Other",2025-04-13,15,3,50
"Thailand","Other",2025-04-20,16,2,25
"Thailand","Other",2025-04-27,17,6,16.2162162162162
"Thailand","Other",2025-05-04,18,9,22.5
"Thailand","Other",2025-05-11,19,16,22.8571428571429
"Thailand","Other",2025-05-18,20,8,9.09090909090909
"Thailand","Other",2025-05-25,21,9,11.5384615384615
"Thailand","Other",2025-06-01,22,6,9.375
"Thailand","Other",2025-06-08,23,1,1.2987012987013
"Thailand","Other",2025-06-15,24,3,6.81818181818182
"Thailand","Other",2025-06-22,25,3,8.10810810810811
"Thailand","Other",2025-06-29,26,0,0
"Thailand","Other",2025-07-06,27,1,7.69230769230769
"Thailand","Other",2025-07-13,28,1,7.69230769230769
"Thailand","Other",2025-07-20,29,0,0
"Thailand","Other",2025-07-27,30,1,7.69230769230769
"Thailand","Other",2025-08-03,31,0,0
"Thailand","Other",2025-08-10,32,0,0
"Thailand","Other",2025-08-17,33,0,0
"Thailand","Other",2025-08-24,34,0,0
"Thailand","Other",2025-08-31,35,2,40
"Thailand","Other",2025-09-07,36,1,16.6666666666667
"Thailand","Other",2025-09-14,37,0,0
"Thailand","Other",2025-09-21,38,0,0
"Thailand","Other",2025-09-28,39,0,0
"Thailand","Other",2025-10-05,40,1,11.1111111111111
