"COUNTRY","MMWR_WEEK_START","NEW_CONF_CASES","NEW_SUS_DEATHS","NEW_SUS_CASES","EPI_WEEK","EPI_YEAR"
"Nepal",2025-02-02,0,0,11,2025,6
"Nepal",2025-02-09,0,0,5,2025,7
"Nepal",2025-02-16,0,0,8,2025,8
"Nepal",2025-02-23,0,0,4,2025,9
"Nepal",2025-03-02,0,0,5,2025,10
"Nepal",2025-03-09,0,0,0,2025,11
"Nepal",2025-03-16,0,0,1,2025,12
"Nepal",2025-03-23,0,0,0,2025,13
"Nepal",2025-03-30,0,0,0,2025,14
"Nepal",2025-04-06,0,0,0,2025,15
"Nepal",2025-04-13,0,0,1,2025,16
"Nepal",2025-04-20,0,0,0,2025,17
"Nepal",2025-04-27,0,0,1,2025,18
"Nepal",2025-05-04,0,0,0,2025,19
"Nepal",2025-05-11,0,0,0,2025,20
"Nepal",2025-05-18,0,0,0,2025,21
"Nepal",2025-05-25,0,0,0,2025,22
"Nepal",2025-06-01,0,0,0,2025,23
"Nepal",2025-06-08,0,0,1,2025,24
"Nepal",2025-06-15,0,0,0,2025,25
"Nepal",2025-06-22,0,0,1,2025,26
"Nepal",2025-06-29,0,0,0,2025,27
"Nepal",2025-07-06,0,0,0,2025,28
"Thailand",2024-07-28,0,0,0,2024,31
"Thailand",2024-08-04,0,0,0,2024,32
"Thailand",2024-08-11,0,0,0,2024,33
"Thailand",2024-08-18,0,0,0,2024,34
"Thailand",2024-08-25,0,0,0,2024,35
"Thailand",2024-09-01,0,0,0,2024,36
"Thailand",2024-09-08,0,0,0,2024,37
"Thailand",2024-09-15,0,0,0,2024,38
"Thailand",2024-09-22,0,0,0,2024,39
"Thailand",2024-09-29,0,0,0,2024,40
"Thailand",2024-10-06,0,0,0,2024,41
"Thailand",2024-10-13,0,0,0,2024,42
"Thailand",2024-10-20,0,0,0,2024,43
"Thailand",2024-10-27,0,0,0,2024,44
"Thailand",2024-11-03,0,0,0,2024,45
"Thailand",2024-11-10,0,0,0,2024,46
"Thailand",2024-11-17,0,0,0,2024,47
"Thailand",2024-11-24,0,0,0,2024,48
"Thailand",2024-12-01,0,0,0,2024,49
"Thailand",2024-12-08,0,0,0,2024,50
"Thailand",2024-12-15,0,0,0,2024,51
"Thailand",2024-12-22,0,0,0,2024,52
"Thailand",2024-12-29,0,0,0,2025,1
