"reporting_country","clade","date","clade_group"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-09-25,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Thailand",NA,2023-10-02,"Others"
"Indonesia",NA,NA,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-09,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Thailand",NA,2023-10-09,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-16,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
